歌曲	蓝光	高清
		
YOUR LEGEND ~燃ゆる命~	http://m1.music.126.net/cRY90XRkmJ39YKp-mB5K0Q==/7743860395369926.mp3	 http://m1.music.126.net/1zquj2l9VDguDjuwiOLwtw==/7994549046017152.mp3
追憶のナインボール	http://m2.music.126.net/bd0NuePKPx4NgtrW1zz0FQ==/7970359790184860.mp3	 http://m2.music.126.net/vPFG_48ilcIOEewLturbFA==/7939573464626364.mp3
星空	http://m2.music.126.net/4VyouJyM38SMyZLteL1AmQ==/7938473952979965.mp3	 http://m1.music.126.net/fS1BA_s7LGlUnt7_mZ2EYQ==/7938473952979963.mp3
将军令 (Original Version)	http://m2.music.126.net/7CeTo4z_hHM6IO3gQ8E8Ww==/7938473952979969.mp3	 http://m2.music.126.net/-WfniLegsGaezNQVkvpF2Q==/7938473952979967.mp3
将军令	http://m1.music.126.net/ah8eFgvStid-V8Q-mpUaBg==/3240260767732969.mp3	 http://m2.music.126.net/xdP9UcCq4JoCZj13MdaHag==/3240260767732967.mp3
开天窗	http://m1.music.126.net/V2nmZV5DjkGAehNZhpMIDg==/1898856581246994.mp3
洋葱	http://m1.music.126.net/hWJf7LM8xypOtIfeXn5Rhw==/5847202836659352.mp3	 http://m1.music.126.net/ipzcBhV4_IQHvHh296WHdQ==/5806520906435735.mp3
步步	http://m1.music.126.net/nzfvGjWLOH2FxesZ7I5hHw==/5893382324961203.mp3	 http://m2.music.126.net/CDGfDmT5hqOxfhbLiiNvhQ==/5893382324961201.mp3
Belief ～春を待つ君へ～	http://m2.music.126.net/hi2rIDUqfRsaB1WCNBuNjQ==/1260040325487566.mp3	 http://m1.music.126.net/ajEk5lk8yPzMCTnPO-Jj-A==/1322712488269936.mp3
2012	http://m1.music.126.net/pPVzgsUgrZGDJBSFrHxbjg==/7958265163400926.mp3	 http://m1.music.126.net/4C3vPIAjDuVMwOCs4QTEtA==/7761452581577262.mp3
仓颉	http://m1.music.126.net/XYVgKjLVhUz4E3Xzx6g1NA==/7957165651774040.mp3	 http://m2.music.126.net/icMv4kqgYTpCcmPN-g31xA==/3256753441561479.mp3
洗衣机	http://m2.music.126.net/b6qVhne0QvDxJhcLP6tMeQ==/3294136836904697.mp3	 http://m2.music.126.net/pr6Hqw6LwZnU9s-hWlr8ew==/7902190069977241.mp3
歪腰	http://m1.music.126.net/6ZX2P-83VtSJbPGf-xttzg==/7987951977351505.mp3	 http://m2.music.126.net/SrIUcvvGxa0e5b0mEAHP9w==/7959364675030766.mp3
干杯	http://m1.music.126.net/6ijy6IHDH3mjexgjY4UOQw==/7704277978012551.mp3	 http://m1.music.126.net/0jyvpyEbB5QU_t3LDk4RBg==/3291937813649011.mp3
我不愿让你一个人	http://m1.music.126.net/zK6YCU5dkG3RgHcRc_t6rg==/3295236348531054.mp3	 http://m2.music.126.net/CINmmYS5eXKZLjOhCER1OQ==/7957165651774041.mp3
星空	http://m2.music.126.net/Q6_NpaICnEQoRMES5qDNUA==/7928578349456540.mp3	 http://m1.music.126.net/jtharsYwUL_5dDzyUaBvXQ==/3294136836904698.mp3
三个傻瓜	http://m2.music.126.net/lCGPOqxPXd1HiChWVOgimQ==/3256753441561481.mp3	 http://m2.music.126.net/rElhnDbSF6vAcWDDnYMrZw==/7987951977351506.mp3
末日	http://m2.music.126.net/WZuTUHvclTZDsbm7QP4TWw==/7902190069977243.mp3	 http://m1.music.126.net/sUsM7kt_yP0lIg6ugs9n3A==/7704277978012552.mp3
OAOA (丢掉名字性别)	http://m1.music.126.net/B9B4gLBu9ECE-u-EgQ9yfQ==/7946170535499355.mp3	 http://m2.music.126.net/hVsTkfS1Pm2ng54_IJPMTQ==/7931876884337743.mp3
第二人生	http://m2.music.126.net/TI6Vwh-X5aWZQMXfHjO9qg==/8001146116886666.mp3	 http://m1.music.126.net/1-oHdIEP8Ns6dw_-r7a3XA==/3323823650854304.mp3
诺亚方舟	http://m1.music.126.net/jHOQMTw2VcWLZ4ZGKU0jzg==/3262250999697514.mp3	 http://m2.music.126.net/6WjBSoNlrXNNm1aq2rHD0w==/3322724139226187.mp3
T1 21 31 21	http://m1.music.126.net/hg0ZaWqbtCGs2uL4qtsPbQ==/7976956861069233.mp3	 http://m1.music.126.net/E3dGCZF4OexMEcvvrkZhYw==/7835119860630751.mp3
有些事现在不做 一辈子都不会做了	http://m1.music.126.net/KejFndjwr9v0Z0ODnyyqrQ==/7959364675030768.mp3	 http://m2.music.126.net/ipjYUkVzFQoDOxgNyTX9xg==/3295236348531055.mp3
明日	http://m2.music.126.net/BjZivmPqH7ip2-sY8RsRIQ==/1252343744041507.mp3	 http://m2.music.126.net/EB9uIX1iEqW_8top_ePhhQ==/1252343744041505.mp3
OAOA (现在就是永远)	http://m1.music.126.net/pJS5kBWICjpOa7Cn3y6Q-A==/1252343744041511.mp3	 http://m2.music.126.net/AwfR79g4OY6p0BBYKZDSJQ==/1252343744041509.mp3
Blank Track 1 - Bonus Track	http://m2.music.126.net/T9tBPtmcjxPfXmsnC0ouOA==/7958265163400927.mp3
Blank Track 2[2012在此] - Bonus Track	http://m1.music.126.net/fhfrfw96TfAu4g6T4Ew_Og==/7958265163400929.mp3
咖哩鱼蛋	http://m1.music.126.net/gaV34RWSIC5FnZ1rhbljYQ==/1112705767317669.mp3	 http://m1.music.126.net/hzHdNv45X_mlRbKI6U_VKQ==/1099511627784478.mp3
恋爱ing(3DNA追梦版)	http://m2.music.126.net/bvrBl7KQGbMzOw-uEoOSTw==/3206175906677385.mp3	 http://m1.music.126.net/oKpGpW55lR_mdjfm-XX9yw==/5707564859873528.mp3
知足(3DNA 追梦版)	http://m2.music.126.net/1nDRTWvsSj09ANNGbFJROg==/3114916441566732.mp3	 http://m2.music.126.net/RmT7YT4FgMqNoXEG4moU4Q==/2151744255562503.mp3
倔强(3DNA 追梦版)	http://m1.music.126.net/jjtTzN-scwpUlJA6UEcI2A==/5707564859873529.mp3	 http://m1.music.126.net/MNClmaUA2knt3uaiZD0lLg==/1294125185930003.mp3
OAOA(3DNA 追梦版)	http://m2.music.126.net/658LUW1NfJkvwYlU66SS3w==/2151744255562504.mp3	 http://m2.music.126.net/QuCMfxEThQilOW3smaSfhQ==/3206175906677386.mp3
DNA(3DNA Live版) - live	http://m1.music.126.net/bXDeHiIjWy-Baxt9PU31Pg==/1055531162673051.mp3	 http://m1.music.126.net/-RsRHuKKg-YjgJYTLu1Hyg==/1055531162673049.mp3
离开地球表面(3DNA Live版) - live	http://m2.music.126.net/ketUojz5pkIGJvholjyTfw==/1055531162673055.mp3	 http://m2.music.126.net/45agIPf3vlYm-Fmlvnz9YA==/1055531162673053.mp3
最重要的小事 (3DNA Live版) - live	http://m1.music.126.net/Gay-Wqja1T6VByzOV_F0lQ==/1055531162673059.mp3	 http://m1.music.126.net/PT1Ps-8HOcuAaQDuQ-1EaQ==/1055531162673057.mp3
