歌曲	蓝光	高清
		
		
可爱女人	 http://m1.music.126.net/jBouFSO2enlPxtpH_0n3Wg==/7936274930834740.mp3	 http://m1.music.126.net/37e5otOomVq1g5jh7R5hIg==/7998947093616069.mp3
完美主义	 http://m2.music.126.net/BoJ4DTDQrRdvqPt3Y35b4Q==/7998947093530302.mp3	 http://m2.music.126.net/vh6KnrosVEgETwf3vpYBew==/7829622302475457.mp3
星晴	 http://m2.music.126.net/CwdNcs1oGsE3uXzNQB49mQ==/7807632069920185.mp3	 http://m2.music.126.net/hznyNHUwmB_bCkq-deeNnA==/7968160767950630.mp3
娘子	 http://m2.music.126.net/hoFint4mzgyeG_w1UlIcTg==/3262250999683309.mp3	 http://m2.music.126.net/M_Z90aAPZzpQ4ADh2hjqSA==/3256753441546513.mp3
斗牛	 http://m1.music.126.net/dUL6o2pGfbbT8oqmGU0MCg==/7932976395951409.mp3	 http://m2.music.126.net/prIhE5IfC7x3RRiLjBUCVA==/3344714371766710.mp3
黑色幽默	 http://m2.music.126.net/jcQR-0xoJL31VnaeUwhLAQ==/7998947093616070.mp3	 http://m2.music.126.net/G4k3o-LDTHQuJ7fwZGEVFg==/7703178466379825.mp3
伊斯坦堡	 http://m2.music.126.net/HBva3ifSVPzmBkn-0pIEYg==/3256753441546514.mp3	 http://m1.music.126.net/RWuAPlyxd5myVmFQuW5ipg==/3357908511299975.mp3
印第安老斑鸠	 http://m2.music.126.net/NkdYtrH3VjA4V2MQAq-YBg==/3344714371766711.mp3	 http://m2.music.126.net/dZiuFeepPimZHAULhzeHjQ==/7952767605248520.mp3
龙卷风	 http://m1.music.126.net/XHksKS1HXHLza_-2QLLK3A==/7703178466379826.mp3	 http://m1.music.126.net/UJJ5wMGoD3XivlpjX5Ulag==/7931876884323633.mp3
反方向的钟	 http://m2.music.126.net/1jFySkEmth_M4j0LcvnDHA==/3357908511299976.mp3	 http://m1.music.126.net/iFnxuDbwZHyOvIomBlOLcQ==/7997847581988295.mp3
屋顶	 http://m1.music.126.net/vx1K8AJiQDRp8WMdhSBz5g==/991759488261992.mp3	 http://m2.music.126.net/7dLHhoifdRGPNM10Z4yt7g==/991759488261990.mp3
爱在西元前	 http://m1.music.126.net/xX3PskWWIcFZPe5dUH71YA==/7985752954072030.mp3	 http://m1.music.126.net/ayvKab8Hb2UILlBkPWC0vg==/7985752954072028.mp3
爸我回来了	 http://m1.music.126.net/KQEQ-QqesJU3iGes8lsjqw==/3265549534557600.mp3	 http://m2.music.126.net/0GqLNZmsOqEYChr-slKlug==/3312828534553016.mp3
简单爱	 http://m1.music.126.net/P4LkfhhYltOKCmKHB7IVeA==/3366704604320222.mp3	 http://m2.music.126.net/xhjDmCdgzC412PcVNXcYOg==/7931876884311900.mp3
忍者	 http://m2.music.126.net/dWziyKw0B0pFaipMXUMmqQ==/3354609976407949.mp3	 http://m2.music.126.net/SzExWsmUEQpgG6SuBDHwgA==/7927478837804626.mp3
开不了口	 http://m1.music.126.net/0uEmGyvUqD92zpYEj0hFWQ==/3265549534557601.mp3	 http://m1.music.126.net/qQL-6qKcahSVm_ZsT2GQlg==/3312828534553017.mp3
